kepid,mass,radius,teff,bp_rp,lum_val,e_bp_min_rp_interp,e_bp_min_rp_val,rrmscdpp04p5
5018226,0.88,0.957,5407.4,1.103282,0.7144963260755134,0.18155960730911563,0.2157,269.464
5018228,0.928,0.954,5589.9,0.9823942,0.8053784411990667,0.14847343381243833,0.097,180.174
5018396,0.872,0.816,5580.8,1.0339575,0.5847900841444807,0.0934798298423147,0.0585,119.254
5022767,1.157,1.232,6209.5,0.8176422,2.041737944669529,0.21333604186575497,0.161,386.023
5022782,1.182,1.206,6341.7,0.8030119,2.1232444620002195,0.21100475078123326,NaN,141.104
5022794,1.01,1.005,5906.3,0.9049835,1.11429453359173,0.18496565433391945,0.1307,197.442
5022858,1.093,1.129,6083.4,0.87283516,1.5812480392703832,0.11862336318132774,0.1977,93.874
5025074,1.16,1.377,6105.3,0.8950186,2.3496328208483073,0.3088259645527332,NaN,246.502
5033412,0.897,0.843,5688.0,0.9764633,0.6760829753919817,0.09851084750602931,0.055,141.257
5033420,0.947,0.897,5929.0,1.0108795,0.9015711376059569,0.18430277617829052,0.2047,257.822
5033470,0.784,0.75,5082.1,1.2097788,0.34040818970100084,0.11145715864141825,0.1093,220.315
5033566,1.236,1.27,6438.1,0.8176241,2.5003453616964313,0.13756394082400475,0.1517,83.912
5039481,0.792,0.764,5055.6,1.1742458,0.34593937782612194,0.1116146040474745,0.137,200.956
5039687,0.985,0.94,5956.7,0.89696217,1.0069316688518042,0.08541950437508622,0.0815,102.2
5039749,1.095,1.101,6110.9,0.95667076,1.4996848355023735,0.19046643832462568,0.206,213.795
5039751,1.1,1.108,6134.3,0.9694052,1.5523870099580823,0.18901037266169585,0.272,211.552
5080410,1.036,1.052,5942.3,0.9916353,1.2502590302177201,0.12905035905189854,0.214,153.728
5080580,0.824,0.859,5127.4,1.3574467,0.463446919736288,0.26323929460049905,0.464,291.194
5088847,1.029,1.289,5804.0,0.92214966,1.7100153150902877,0.20902399980825528,NaN,139.825
5088901,1.226,1.423,5920.6,0.856513,2.2594357702209775,0.12635300579136974,0.259,66.77
5088912,0.832,0.89,5172.7,1.1498642,0.5140436515824262,0.14463102271030917,0.246,179.507
5088934,1.104,1.452,5893.5,0.85007286,2.3014418174085085,0.11714014216646976,0.322,60.069
5088948,1.104,1.299,6001.3,0.8299122,1.9860949173573714,0.23862802730994134,0.2667,139.414
5088977,1.035,1.017,5999.4,0.8311472,1.2133888504649772,0.13623853402072567,0.113,92.393
5093950,1.177,1.548,6195.4,0.7678814,3.1915378551007616,0.09720097256562511,0.342,39.433
5093963,0.857,0.839,5322.8,1.0961313,0.5116818355403078,0.13009757874966105,0.1615,183.795
5094011,0.845,0.898,5245.5,1.0578556,0.5533501092157367,0.07892434186794553,0.1005,486.34
5094045,0.949,1.385,5518.8,0.97733784,1.6180800376430657,0.25109453038027324,0.407,201.744
5097819,0.939,1.102,5614.5,0.96409416,1.093956366272094,0.1712484740943392,0.219,147.23
5097826,1.169,1.334,6149.9,0.9079819,2.3659196974857584,0.2761659577338566,0.26,173.554
5097845,0.921,1.044,5565.1,0.9734535,0.9484184633008972,0.13310852793442052,NaN,123.841
5097868,0.935,0.957,5615.4,0.94804573,0.8241381150130023,0.1338582103952157,0.1163,175.278
5097897,0.796,0.774,5046.0,1.1204958,0.350751873952568,0.11818088871111261,0.075,189.072
5105897,1.142,1.166,6253.1,0.8711901,1.8836490894898006,0.27501887516662377,NaN,220.267
5105904,0.937,0.887,5782.6,0.9077778,0.7961593504173188,0.10207964441702742,0.0373,110.209
5105935,0.794,0.808,4948.7,1.2664957,0.35481338923357547,0.16265369463010412,0.2987,246.433
5106034,1.055,1.289,5873.8,0.90144825,1.7947336268325265,0.18631112129120772,0.23,144.134
5106134,1.047,1.064,5975.4,0.8672571,1.309181922999407,0.14017550552439167,0.128,108.228
5106172,0.779,0.76,4938.1,1.2029572,0.31117163371060175,0.13557032048988232,0.101,220.574
5106251,1.406,1.853,6515.9,0.7376919,5.623413251903491,0.21130103867444613,NaN,53.924
5109977,0.955,1.0,5678.5,1.0342093,0.9418895965228413,0.15621319256479307,0.2897,187.864
5109984,0.936,0.91,5685.9,1.0162029,0.7834296427662117,0.1613857520520718,0.142,240.652
5109996,0.82,0.78,5272.3,1.1122074,0.42657951880159267,0.13021763461254673,0.056,220.7
5110034,1.263,1.499,6272.4,0.7580118,3.1117163371060177,0.15607248054233536,NaN,91.116
5110055,1.106,1.189,6082.0,0.8847027,1.7498466886246569,0.15379121723653058,NaN,117.642
5110065,0.981,1.006,5767.6,0.8906269,1.0139113857366795,0.06881488501062034,0.1055,73.921
5110116,0.873,0.817,5633.3,1.0349388,0.6123503917247735,0.1403694411469849,0.0953,226.175
5110245,1.331,1.67,6406.0,0.86918354,4.265795188015927,0.32859687853866154,NaN,413.745
5120923,1.052,1.027,6083.6,0.8630123,1.3061708881318415,0.1067790546165142,0.094,98.573
5120982,0.97,1.054,5720.2,1.0234747,1.0789467222298288,0.14725577036599694,0.2393,169.258
5120997,1.156,1.266,6180.5,0.92217255,2.113489039836647,0.14029357734053519,0.271,107.201
5121037,1.065,1.236,6607.6,0.78636265,2.6424087573219466,0.16834348582860653,0.1703,114.51
5121044,1.232,1.27,6427.1,0.84044075,2.4774220576332855,0.1693594563500195,0.178,101.849
5121051,1.247,1.235,6600.1,0.7632904,2.6061535499988953,0.10459526128205002,0.154,153.59
5127794,0.734,0.698,5043.6,1.2437382,0.2851018267503909,0.15304739384632796,0.013,391.26
5127807,1.077,1.099,6056.1,1.1048851,1.4791083881682074,0.1963179609689956,0.389,311.461
5127812,1.092,1.07,6250.7,1.0352144,1.588546748597779,0.1916462314549829,0.2837,293.361
5127939,0.685,0.671,4441.8,1.584341,0.15848931924611134,0.20029225900766037,0.214,353.633
5127947,0.771,0.745,4948.2,1.2948895,0.3013006024186121,0.1249985563441154,0.1597,196.817
5166301,1.047,1.032,6026.4,0.9841566,1.2705741052085415,0.12910525071407394,0.2453,148.857
5166452,0.772,0.741,4961.9,1.1621056,0.30060763026282306,0.07453629716256523,0.0775,138.148
5174443,0.938,0.947,5633.8,0.9501581,0.8184647881347898,0.14018158274787854,0.067,195.623
5174665,0.806,0.864,4811.5,1.5329084,0.3597493351557423,0.27024758447913255,NaN,263.795
5174691,0.987,1.105,5761.9,0.9013262,1.2217996601648717,0.20830159415395652,0.1363,198.069
5018655,0.981,0.995,5770.1,0.9706354,0.9931160484209338,0.08888997762503166,0.1137,83.268
5018683,1.058,1.071,6024.1,0.9280939,1.3708817661648536,0.19199339095199888,0.2007,222.552
5018694,1.268,1.44,6391.9,0.780838,3.118889584093937,0.1608188837907537,NaN,83.792
5018711,0.881,0.923,5407.3,1.0707932,0.660693448007596,0.10909317047678894,0.205,146.349
5022900,0.863,0.846,5353.5,1.0907602,0.5345643593969717,0.15612627534130707,0.13,260.744
5022916,0.811,0.784,5135.0,1.1459637,0.3863669770540692,0.12258689432713246,0.06,281.374
5022935,0.957,0.999,5689.2,1.0252514,0.9506047936562815,0.1827429384802199,0.2733,201.591
5022937,0.873,0.922,5372.9,0.94829655,0.6426877173170197,0.037756490675501624,0.0227,41.088
5023113,0.866,1.061,5305.9,1.0524607,0.8090958991783823,0.08731923775832699,0.238,105.905
5023242,0.772,0.789,4747.2,1.3367424,0.28641779699065806,0.1446267885707811,NaN,134.314
5025109,0.819,0.818,5112.4,1.2400017,0.4149540426343629,0.15900496712936343,NaN,202.295
5033579,0.918,0.896,5588.1,1.014431,0.7079457843841379,0.12182331008076351,NaN,186.378
5033823,1.13,1.3,6067.7,0.8336725,2.0701413487910423,0.09920470559766525,0.178,61.544
5033858,1.433,1.315,7875.9,0.7839937,5.997910762555095,0.17762565761862,0.317,193.763
5033898,1.2,1.215,6458.0,0.7805643,2.333458062281003,0.12155626411256905,0.1703,220.537
5033905,0.701,0.686,4524.1,1.4430294,0.1778279410038923,0.2125166277696516,0.139,283.119
5033931,0.841,0.789,5129.8,1.1385536,0.3890451449942806,0.0691314066466239,0.0802,94.94
5034112,1.147,1.172,6236.3,0.97609997,1.8620871366628675,0.18762340500856986,0.4365,167.121
5039949,1.088,1.23,6003.5,0.9722061,1.7823787674480895,0.14722696607122074,NaN,126.044
5040077,0.966,0.921,5866.8,0.9622097,0.9078205301781858,0.10045673404922258,0.067,156.005
5040156,0.9,0.862,5534.2,0.9774809,0.628058358813318,0.07875459854350284,0.076,161.537
5040223,1.219,1.423,6241.2,0.9073982,2.747894153102397,0.17748445831716345,NaN,128.71
5040321,0.783,0.764,4947.9,1.287363,0.31622776601683794,0.12100464180428845,0.2158,165.558
5080798,0.723,0.697,4751.5,1.4572573,0.22387211385683395,0.14934426554965027,0.196,163.363
5080819,1.106,1.539,5857.5,1.056241,2.523480772480575,0.31619142401842815,0.8645,285.158
5081242,0.784,0.748,4843.9,1.316433,0.278612116862977,0.10348816154378512,0.1807,131.258
5082913,0.659,0.657,4369.6,1.7220583,0.142232878712282,0.1913224662083193,0.521,284.133
5083085,0.728,0.702,4808.1,1.3691473,0.23768402866248767,0.16332881139243605,0.1395,211.123
5083106,0.879,0.912,5396.3,1.1663551,0.6397348354826481,0.16682742186094313,NaN,193.554
5083138,1.07,1.144,5997.6,0.972805,1.5381546403030348,0.21958569155057567,0.211,227.313
5083182,1.176,1.408,6113.9,0.85066223,2.5176769277588558,0.13449552716958044,0.273,76.498
5083198,0.93,0.892,5684.0,0.93275833,0.7498942093324559,0.06377353149854749,0.088,65.158
5089026,0.872,0.893,5360.6,1.0561876,0.5970352865838369,0.10606614451979186,0.116,146.654
5089033,0.751,0.745,4714.2,1.3664904,0.24774220576332856,0.17398560903080768,0.178,169.134
5089037,1.343,1.843,6379.5,0.72602654,5.105049999754062,0.13535425787575905,NaN,36.641
5089195,1.184,1.522,6170.6,0.7770729,3.0338911841942706,0.13894298967146976,0.334,61.621
5089246,0.948,0.926,5705.5,1.006113,0.8241381150130023,0.1345342643805849,0.1665,139.842
5089301,0.85,0.8,5422.7,0.9504194,0.5000345349769785,0.06510128474579462,0.0397,87.922
5094207,0.892,0.84,5375.8,1.0396013,0.5333348954876209,0.0905918587030917,0.1023,109.474
5094218,0.837,0.885,5199.6,1.105979,0.519995996533516,0.14556086444124122,0.158,185.932
5094276,0.915,0.889,5582.5,0.9621525,0.6950243175887968,0.1104773520672393,0.03,164.545
5094301,0.983,0.935,5578.3,0.8928671,0.7655966069112563,0.014203628322318172,0.0123,28.465
5094344,0.889,1.368,5130.1,1.0159283,1.1803206356517297,0.18803050028404897,0.257,159.343
5094367,1.03,1.409,5739.9,0.9774637,1.9543394557753946,0.2462268420987032,0.399,160.066
