kepid,mass,radius,teff,bp_rp,e_bp_min_rp_interp,e_bp_min_rp_val,rrmscdpp04p5
9330984,0.808,1.6151762,5438.1,0.91304874,0.2279419784491059,NaN,148.574
9331032,0.829,1.0078572,5376,0.9543171,0.033855285390565,0.0847,37.14
9331046,1.036,1.9498174,5250.467,0.9908724,0.29603934922281405,NaN,170.998
9331054,0.824,0.74115145,5221.95,1.071537,0.1422572443030402,0.012,321.004
9331084,1.056,1.4564495,5867.5,0.799654,0.193512495856068,0.2745,100.538
9336335,0.952,0.7497463,5109,1.0279512,0.08095054514346711,0.032,141.339
9338929,0.99,1.2438612,5745.05,0.7771654,0.02509069204039384,0.059,43.303
9339111,1.032,1.0661134,5353,0.9767437,0.06107587558468952,0.1757,53.554
9339145,0.809,0.7397802,4883.8765,1.2514582,0.16591356015793127,0.1533,221.335
9339297,0.548,0.68921435,4372.9,1.5104599,0.2148798757386789,0.189,289.023
9345256,0.806,0.8032284,5350,1.0187035,0.13004033887868133,0.0463,190.494
9345271,0.885,0.8707014,5076.285,1.0661592,0.1183455163084161,0.0385,221.912
9345303,0.959,1.3803447,5361.75,0.96499443,0.15220320993825237,0.3352,112.169
9345319,1.173,1.7877499,5442,0.94270515,0.27988068946516365,NaN,178.575
9345341,1.137,1.6512893,5590.535,0.88888836,0.24932439170157938,NaN,154.932
9345468,0.958,1.1376505,5468,0.9251909,0.21830540585150718,0.14,242.001
9345526,1.07,0.9033197,5573.5,0.89866066,0.15615361879625841,0.0427,226.605
9349698,0.597,0.9518773,5020,1.082386,0.04064678856519832,0.148,370.162
9349740,1.105,1.2797974,5402.75,0.93470955,0.12081733725549519,0.195,99.411
9349746,0.876,1.1634742,5133.72,1.0417585,0.15868829578237303,0.248,158.458
9349749,1.25,1.3030732,5924.5,0.7886076,0.23272060249601853,0.178,416.218
9349755,0.812,0.92989784,4907.87,1.105854,0.12697990809808024,0.102,209.046
9349757,0.938,1.1062573,5402,0.9529133,0.14964036954261664,0.189,170.578
9349836,0.784,0.99594736,5125,1.0144196,0.029927800291698916,0.1117,35.343
9349888,0.849,1.0823897,5378,0.96300983,0.15603985185931712,0.178,145.504
9354030,1.043,1.1103722,5408.5,0.94621754,0.21046684825375847,0.2117,262.666
9354084,0.956,1.2864839,5620.3667,0.8615427,0.0640481239262997,0.235,42.16
9354114,0.693,0.66631687,4801.9,1.2720947,0.1314891589211989,0.094,308.055
9354174,0.977,1.3188589,5432.5,0.9318638,0.10652678629798168,0.251,76.533
9354251,1.16,1.3307657,6026,0.7642803,0.10206941304144915,0.129,46.508
9354257,1.029,1.0567492,5790.5,0.8494587,0.06091623558248624,0.09,51.961
9354258,1.011,1.2386948,6078.25,0.77173424,0.14044574310133953,0.1733,77.942
9356691,1.151,1.281327,6033,0.7264633,0.03974922642207493,0.0442,20.208
9223570,0.755,0.73908365,4968.6553,1.1250019,0.09655084893593571,0.0717,136.83
9223609,0.998,0.9816952,5131,1.0625143,0.13137846935331943,0.1777,157.195
9223780,0.945,1.1701283,4978.967,1.1608334,0.20840709767895396,0.3452,229.544
9223783,1.175,2.1990902,5664.3804,0.7621794,0.2193937142683913,0.709,69.408
9223806,1.111,1.2020451,5661.5,0.8798866,0.15533365123356138,0.139,113.956
9228962,0.559,0.65771294,4697.16,1.4213867,0.22499767633550904,0.228,305.412
9228998,0.993,1.2901636,5779.5,0.83873177,0.11385620344126242,0.2253,67.132
9229016,1.083,1.419011,5771.5,0.8678713,0.11968073326665948,0.3417,93.184
9229079,0.687,0.8030152,4962.54,1.1159477,0.10368608798028003,0.076,145.206
9229127,1.048,1.6295856,5412,0.923193,0.1806961858457981,NaN,117.831
9229151,1.143,1.1652113,5727,0.86962223,0.2158603006728328,0.1405,189.061
9229171,1.021,0.8028497,5326,1.0094433,0.09548839702201378,0.0273,201.587
9229188,1.021,1.2038553,5332.48,1.0025063,0.21224802433092632,0.3003,229.721
9242037,0.65,0.5867558,4954,1.3352308,0.12476367706435537,0.06,169.783
9242081,0.924,0.9791023,5366,0.9613552,0.0970578660173277,0.11,129.533
9265575,1.05,1.4522542,5432,0.9317255,0.1265318904199751,0.291,80.489
9265620,0.884,0.8023199,4999.0674,1.2218266,0.14590045269728322,0.19,157.965
9265653,0.758,0.6439096,5038.62,1.2219048,0.09484509752369304,0.063,124.415
9265722,0.727,0.95258975,5003.5,1.111515,0.12443186690308233,0.152,144.692
9265740,0.766,0.80240446,5104.468,1.0488482,0.04848612712193253,0.015,57.067
9265748,1.021,0.8693363,5361,0.97967243,0.09933056862300799,0.0415,136.226
9265801,0.892,0.882524,5082.5835,1.021905,0.1377922717314198,0.021,207.062
9265810,0.939,0.82480866,5221.95,1.0759325,0.14254540739554053,0.1285,201.552
9269281,0.916,0.7626631,5380.0405,0.9975891,0.14039592563169534,0.0072,216.66
9269288,1.018,1.6676496,5663.7427,0.87921524,0.2558694672825248,0.6258,136.339
9269309,0.898,0.8232546,4941.06,1.1561441,0.08495154685524468,0.1383,92.732
9269329,0.824,0.77207863,5054.8203,1.0839996,0.13516180990624485,0.043,203.287
9269333,0.988,1.054542,5930,0.883975,0.14276436767735712,0.1363,107.191
9269369,0.959,1.9579303,5435,0.9427738,0.31571252048378445,0.7405,175.308
9269390,1.001,1.423825,5774.6665,0.8668871,0.20667193537204617,0.307,120.297
9274120,1.083,1.1278673,5437,0.9385395,0.17587993372780836,0.195,178.637
9274123,0.888,1.274706,5547.2573,0.8819704,0.09527920603563672,0.2172,77.475
9274155,0.917,1.3033534,5932.6665,0.765151,0.05842667841158252,0.151,29.746
9274173,0.965,1.222024,5368,0.98289776,0.14843460656593452,0.2313,129.407
9274184,0.882,1.0122825,5697.25,0.8810625,0.11745905533585035,0.0875,109.8
9282783,1.132,1.7906282,5759.8027,0.8397684,0.31641934339585515,0.637,169.22
9282786,1.074,1.4086368,5471,0.91080666,0.19321702933717685,0.2188,126.495
9282809,1.013,1.2857237,5430.75,0.91560364,0.18820793730117263,0.233,168.676
9282813,0.821,0.70685244,4946.53,1.2438393,0.12244307756145542,0.1322,186.988
9282818,1.021,1.0919334,5370,0.955966,0.1833572561500523,0.1845,212.49
9282825,0.819,0.7496462,4954,1.1661663,0.13054217311182365,NaN,199.26
9282859,1.079,1.3388301,5603.6,0.874938,0.16056580567371637,0.1838,117.728
9286373,1.072,1.1011916,5733.6626,0.8685255,0.1575245726536223,0.1425,114.123
9286422,0.628,0.6757964,4271,1.5342522,0.11451316120112641,0.165,130.596
9286461,1.113,1.5767492,5623.69,0.8766928,0.21196805240498662,0.2653,125.119
9286471,0.793,0.7981466,4938.08,1.1258116,0.14396549576432202,0.072,210.214
9286476,1.024,1.3592578,5374,0.96880627,0.2539219948676102,0.307,214.257
9290500,0.879,1.8863744,5346.6665,0.97401714,0.31482218112450167,0.8547,210.686
9290526,0.918,0.95276165,5098.31,1.0552511,0.16284895319591627,0.1215,273.032
9290539,0.907,0.9917918,4938.01,1.1550779,0.1858457100990643,0.262,225.657
9290615,0.865,0.91200554,5481,0.9264412,0.06632122676617089,NaN,62.271
9290647,1.087,1.6843172,5780,0.8592081,0.21984734142245982,NaN,144.689
9290677,1.007,0.96158195,5486,0.9097481,0.08319573490736192,0.025,100.524
9290679,0.804,0.59454614,5020,1.2954111,0.11905320304172544,NaN,169.855
9290688,0.82,0.70319897,4994.9033,1.236083,0.16516660089383983,NaN,310.67
9303208,1.047,1.2482176,5516,0.89987564,0.0785092812897039,0.2115,61.673
9303651,0.501,0.8338617,4963.5,1.3598537,0.19899902473044387,0.4545,192.271
9303817,1.601,1.144361,6519.2534,0.726532,0.10507315401761229,0.1223,50.076
9303842,0.75,1.0940543,4876.1147,1.290451,0.28882393437274406,0.4625,382.188
9303943,0.811,0.7786755,4954.3335,1.1584177,0.061251564999640594,0.084,133.219
9326538,0.617,0.64832383,4328,1.591404,0.18634059446637513,0.269,275.148
9326544,0.773,0.8558937,5098,1.0565891,0.06789411487675542,0.077,78.635
9326548,0.73,0.7975061,5176.25,1.0314388,0.11397272061418783,NaN,162.547
9326567,0.936,0.8908051,5344.6665,0.98437786,0.05304909200841821,0.0765,64.56
9326569,1.181,1.4176732,5540.385,0.88665867,0.15921797696980292,NaN,106.564
9326573,1.079,0.86820906,5474,0.9117155,0.13467949805495386,0.008,175.843
9326593,0.574,0.59854794,4097,1.7714005,0.1559780881471977,0.133,264.226
9326614,1.02,1.1120075,5408,0.9439888,0.09514276210899268,0.204,87.174
